id,nombre,plataforma,marca,puntuacion usuarios
99,Family Party: 30 Great Games Obstacle Arcade,WiiU,NINTENDO,2.0
20,Ride to Hell: Retribution,PC,PC,1.3
845,Yaris,Xbox360,MICROSOFT,4.3
303,Vroom in the Night Sky,Switch,NINTENDO,3.1
76,Leisure Suit Larry: Box Office Bust,PlayStation3,SONY,1.9
40,Double Dragon II: Wander of the Dragons,Xbox360,MICROSOFT,1.5
533,SPOGS Racing,Wii,NINTENDO,3.7
14,Ride to Hell: Retribution,Xbox360,MICROSOFT,1.3
17,Alone in the Dark: Illumination,PC,PC,1.3
125,Deal or No Deal,DS,NINTENDO,2.2
56,Infestation: Survivor Stories (The War Z),PC,PC,1.7
102,Leisure Suit Larry: Box Office Bust,PC,PC,2.0
227,Afro Samurai 2: Revenge of Kuma Volume One,PlayStation4,SONY,2.8
55,Drake of the 99 Dragons,Xbox,MICROSOFT,1.7
19,Fast & Furious: Showdown,Xbox360,MICROSOFT,1.3
66,Rambo: The Video Game,PlayStation3,SONY,1.8
914,Charlie's Angels,GameCube,NINTENDO,4.4
273,Homie Rollerz,DS,NINTENDO,3.0
205,Fighter Within,XboxOne,MICROSOFT,2.8
284,FlatOut 3: Chaos & Destruction,PC,PC,3.1
471,Legends of Wrestling II,GameBoyAdvance,NINTENDO,3.6
67,NBA Unrivaled,PlayStation3,SONY,1.8
276,Postal III,PC,PC,3.0
375,Gravity Games Bike: Street Vert Dirt,PlayStation2,SONY,3.4
115,Pulse Racer,Xbox,MICROSOFT,2.2
153,Terrawars: New York Invasion,PC,PC,2.4
394,Game Party Champions,WiiU,NINTENDO,3.4
497,Cruis'n,Wii,NINTENDO,3.7
358,Batman: Dark Tomorrow,Xbox,MICROSOFT,3.3
148,Leisure Suit Larry: Box Office Bust,Xbox360,MICROSOFT,2.4
556,AMY,Xbox360,MICROSOFT,3.8
614,Game Party,Wii,NINTENDO,3.9
957,Stalin vs. Martians,PC,PC,4.4
823,NBA Unrivaled,Xbox360,MICROSOFT,4.3
1763,Dragon Ball Z: Ultimate Battle 22,PlayStation,SONY,5.2
339,Call for Heroes: Pompolic Wars,PC,PC,3.2
212,Jenga World Tour,Wii,NINTENDO,2.8
536,Deca Sports Freedom,Xbox360,MICROSOFT,3.7
97,Road Rage,PlayStation4,SONY,2.0
495,Stake: Fortune Fighters,Xbox,MICROSOFT,3.7
229,Tenkai Knights: Brave Battle,3DS,NINTENDO,2.9
177,Charlie and the Chocolate Factory,PC,PC,2.6
190,Aquaman: Battle for Atlantis,Xbox,MICROSOFT,2.7
875,KISS Pinball,PlayStation,SONY,4.3
176,Survivor (2001),PC,PC,2.6
39,R.I.P.D. The Game,PC,PC,1.5
904,Druuna: Morbus Gravis,PC,PC,4.4
35,R.I.P.D. The Game,PC,PC,1.5
685,HBO Boxing,PlayStation,SONY,4.0
608,Mucha Lucha! Mascaritas of the Lost Code,GameBoyAdvance,NINTENDO,3.9
233,World War II Combat: Iwo Jima,PC,PC,2.9
1747,Chicken Shoot,Wii,NINTENDO,5.2
223,Aquaman: Battle for Atlantis,GameCube,NINTENDO,2.8
226,Rogue Warrior,PlayStation3,SONY,2.8
354,Raven's Cry,PC,PC,3.3
447,GoDai: Elemental Force,PlayStation2,SONY,3.5
222,Basement Crawl,PlayStation4,SONY,2.8
147,Fray,PC,PC,2.4
2886,Looney Tunes: Acme Arsenal,Wii,NINTENDO,5.8
2398,Godzilla Unleashed: Double Smash,DS,NINTENDO,5.6
128,Rambo: The Video Game,Xbox360,MICROSOFT,2.3
77,The Quiet Man,PlayStation4,SONY,1.9
407,Sneakers,Xbox,MICROSOFT,3.4
272,Mortal Kombat: Special Forces,PlayStation,SONY,3.0
597,Ping Pals,DS,NINTENDO,3.9
34,Dragon Ball: Evolution,PSP,SONY,1.5
7327,American McGee Presents Bad Day LA,PC,PC,7.1
53,Thundercats,DS,NINTENDO,1.7
258,Rogue Warrior,Xbox360,MICROSOFT,3.0
144,Hoodwink,PC,PC,2.4
13532,Tiny Racer,Switch,NINTENDO,8.1
2852,Game Party 2,Wii,NINTENDO,5.8
36,Wild West Online,PC,PC,1.5
244,Batman: Dark Tomorrow,GameCube,NINTENDO,3.0
357,Jumper: Griffin's Story,Xbox360,MICROSOFT,3.3
149,ARK: Survival Evolved,Switch,NINTENDO,2.4
526,Duke Nukem: Critical Mass,DS,NINTENDO,3.7
402,Rogue Warrior,PC,PC,3.4
729,Power Rangers Megaforce,3DS,NINTENDO,4.1
2577,ShellShock 2: Blood Trails,Xbox360,MICROSOFT,5.7
382,Tunnel Rats: 1968,PC,PC,3.4
3011,Soda Drinker Pro,XboxOne,MICROSOFT,5.9
50,Air Conflicts: Vietnam Ultimate Edition,PlayStation4,SONY,1.7
22,Ghostbusters,PlayStation4,SONY,1.4
1517,MTV's Celebrity Deathmatch,PC,PC,5.0
808,Robocop,Xbox,MICROSOFT,4.2
523,Transformers: Dark of the Moon - Stealth Force Edition,3DS,NINTENDO,3.7
520,Vampire Rain: Altered Species,PlayStation3,SONY,3.7
260,Fear Factor: Unleashed,GameBoyAdvance,NINTENDO,3.0
1642,Crime Life: Gang Wars,Xbox,MICROSOFT,5.1
878,Big Oil: Build an Oil Empire,PC,PC,4.3
1012,Forever Worlds - Enter the Unknown,PC,PC,4.5
351,ESPN Sports Connection,WiiU,NINTENDO,3.3
383,The Asskickers,PC,PC,3.4
455,DreamWorks Kung Fu Panda 2,PlayStation3,SONY,3.6
1520,Toy Shop,DS,NINTENDO,5.0
1014,Dino Dini's Kick Off Revival,PlayStation4,SONY,4.5
635,CID The Dummy,Wii,NINTENDO,4.0
642,Women's Volleyball Championship,PlayStation2,SONY,4.0
645,Magus,PlayStation3,SONY,4.0
578,Ghostbusters,XboxOne,MICROSOFT,3.8
894,The Expendables 2 Videogame,Xbox360,MICROSOFT,4.4
179,Iron Man,PC,PC,2.6
255,New World Order,PC,PC,3.0
634,The Walking Dead: Survival Instinct,Xbox360,MICROSOFT,4.0
1525,Best of Tests DS,DS,NINTENDO,5.0
163,Bruce Lee: Quest of the Dragon,Xbox,MICROSOFT,2.5
1073,Dave Mirra BMX Challenge,PSP,SONY,4.6
193,Weeping Doll,PlayStation4,SONY,2.7
437,Sonic Boom: Rise of Lyric,WiiU,NINTENDO,3.5
1097,Fighters Uncaged,Xbox360,MICROSOFT,4.6
330,Coliseum,PC,PC,3.2
1402,Giana Sisters: Dream Runners,XboxOne,MICROSOFT,4.9
482,MTV's Celebrity Deathmatch,PlayStation2,SONY,3.6
