,puntuacion usuarios,marca
11934,9.8,SONY
13320,9.7,SONY
11751,9.7,SONY
5196,9.6,SONY
16104,9.2,SONY
13940,9.2,SONY
16384,9.2,SONY
8708,9.2,SONY
14661,9.2,SONY
16475,9.2,SONY
16555,9.2,SONY
16575,9.2,SONY
16578,9.2,SONY
16580,9.2,SONY
14157,9.2,SONY
16099,9.2,SONY
16021,9.1,SONY
16545,9.1,SONY
14550,9.1,SONY
15693,9.1,SONY
16342,9.1,SONY
15722,9.1,SONY
16340,9.1,SONY
16337,9.1,SONY
16411,9.1,SONY
16416,9.1,SONY
16330,9.1,SONY
14027,9.1,SONY
16486,9.1,SONY
14430,9.1,SONY
13835,9.1,SONY
15568,9.1,SONY
16610,9.1,SONY
16577,9.1,SONY
15761,9.0,SONY
13440,9.0,SONY
16302,9.0,SONY
2341,9.0,SONY
16183,9.0,SONY
15647,9.0,SONY
16308,9.0,SONY
15457,9.0,SONY
8566,9.0,SONY
16467,9.0,SONY
15734,9.0,SONY
4366,9.0,SONY
16563,9.0,SONY
11325,9.0,SONY
16600,9.0,SONY
11771,9.0,SONY
9904,9.0,SONY
15248,9.0,SONY
14712,9.0,SONY
9133,9.0,SONY
16494,9.0,SONY
16080,8.9,SONY
2078,8.9,SONY
15283,8.9,SONY
14912,8.9,SONY
15715,8.9,SONY
16094,8.9,SONY
15361,8.9,SONY
15332,8.9,SONY
3208,8.9,SONY
16087,8.9,SONY
10619,8.9,SONY
14406,8.9,SONY
10697,8.9,SONY
16088,8.9,SONY
14413,8.9,SONY
15357,8.9,SONY
16138,8.9,SONY
16141,8.9,SONY
14421,8.9,SONY
15755,8.9,SONY
13387,8.9,SONY
15329,8.9,SONY
16319,8.9,SONY
16262,8.9,SONY
16159,8.9,SONY
16265,8.9,SONY
16271,8.9,SONY
15066,8.9,SONY
9142,8.9,SONY
10676,8.9,SONY
12399,8.9,SONY
13897,8.9,SONY
16518,8.9,SONY
15167,8.9,SONY
10421,8.9,SONY
15651,8.9,SONY
16591,8.9,SONY
14812,8.9,SONY
15681,8.9,SONY
5681,8.9,SONY
13178,8.9,SONY
16398,8.9,SONY
16378,8.9,SONY
16539,8.9,SONY
15446,8.9,SONY
12370,8.9,SONY
2652,8.8,SONY
8544,8.8,SONY
14774,8.8,SONY
12471,8.8,SONY
15949,8.8,SONY
15952,8.8,SONY
2478,8.8,SONY
8595,8.8,SONY
14973,8.8,SONY
