,nombre,plataforma,fecha lanzamiento,puntuacion,puntuacion usuarios,desarrollador,genero,numero jugadores,numero criticas,numero usuarios
1374,Full Throttle,PC,1995-04-30,86,8.6,LucasArts,"Adventure,General",No info,8,181
631,Duke Nukem 3D,PC,1996-01-29,89,8.7,3DRealms,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",1-4 ,8,461
7623,Bad Mojo,PC,1996-02-29,74,6.9,PulseEntertainment,"Action Adventure,Adventure,General,Horror,General",1 Player,10,13
85,Sid Meier's Civilization II,PC,1996-02-29,94,8.8,MPSLabs,"Strategy,Turn-Based,Historic,General,Historic,4X",1 Player,7,450
338,Resident Evil,PlayStation,1996-03-30,91,9.0,Capcom,"Action Adventure,Horror",1 Player,8,526
86,Quake,PC,1996-06-22,94,8.8,idSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",1-16 ,9,813
4216,Time Commando,PC,1996-07-31,80,8.3,AdelineSoftware,"Action Adventure,Sci-Fi,Sci-Fi,General",1 Player,7,31
588,Tekken 2,PlayStation,1996-08-25,89,8.4,Namco,"Action,Fighting,3D",1-2 ,8,165
16295,Harvester,PC,1996-08-31,53,7.9,DigiFXInteractive,"Adventure,General,General,Point-and-Click",No Online Multiplayer,8,47
109,Super Mario 64,Nintendo64,1996-09-26,94,9.2,Nintendo,"Action,Platformer,3D",1 Player,13,1274
4157,Pilotwings 64,Nintendo64,1996-09-29,80,8.0,ParadigmEntertainment,"Simulation,General",1 Player,13,44
168,Wipeout XL,PlayStation,1996-09-30,93,8.6,Psygnosis,"Driving,Racing,Futuristic",1-2 ,8,40
4369,Circle of Blood,PC,1996-09-30,80,8.3,RevolutionSoftware,"Adventure,General,General,Point-and-Click",1 Player,9,22
2206,Master of Orion II: Battle at Antares,PC,1996-10-01,84,8.8,SimTex,"Strategy,Turn-Based,Sci-Fi,4X",,9,37
522,Command & Conquer: Red Alert,PC,1996-10-31,90,8.8,WestwoodStudios,"Strategy,Real-Time,Sci-Fi,Sci-Fi,Command",1-6 ,7,360
238,Wave Race 64,Nintendo64,1996-11-01,92,8.3,Nintendo,"Driving,Racing,Snow / Water",1-2 ,13,104
301,Tomb Raider,PlayStation,1996-11-15,91,8.4,CoreDesignLtd.,"Action Adventure,Modern",1 Player,13,237
2266,Super Puzzle Fighter II Turbo,PlayStation,1996-11-30,83,8.5,Capcom,"Miscellaneous,Puzzle,Matching",1-2 ,9,12
1836,Obsidian,PC,1996-12-31,85,7.1,RocketScienceGames,"Adventure,General,General",1 Player,9,16
4839,RayStorm,PlayStation,1996-12-31,79,7.6,TaitoCorporation,"Action,General",1-2 ,7,7
99,Diablo,PC,1996-12-31,94,8.7,BlizzardEntertainment,"Role-Playing,Action RPG,Action RPG",Up to 4 ,12,1161
2703,Mario Kart 64,Nintendo64,1997-02-10,83,8.6,Nintendo,"Driving,Racing,Kart",1-4 ,15,409
1779,Turok: Dinosaur Hunter,Nintendo64,1997-02-28,85,8.3,IguanaEntertainment,"Action,Shooter,First-Person,Sci-Fi",1 Player,13,81
451,Blast Corps,Nintendo64,1997-02-28,90,8.4,RareLtd.,"Action,General",1 Player,12,55
3222,The Last Express,PC,1997-03-31,82,8.7,SmokingCarProductions,"Adventure,General,General",No Online Multiplayer,8,71
3097,Blood,PC,1997-05-31,82,8.9,MonolithProductions,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",1-8 ,7,133
758,Star Fox 64,Nintendo64,1997-07-01,88,8.8,Nintendo,"Action,Shooter,Rail",1-4 ,16,255
2645,Ace Combat 2,PlayStation,1997-07-31,83,8.8,Namco,"Simulation,Flight,Modern Jet",1 Player,10,50
26,GoldenEye 007,Nintendo64,1997-08-25,96,9.0,RareLtd.,"Action,Shooter,First-Person,Modern",1-4 ,21,668
1503,Oddworld: Abe's Oddysee,PlayStation,1997-08-31,85,8.8,OddworldInhabitants,"Action,Platformer,2D",1-2 ,10,144
243,Final Fantasy VII,PlayStation,1997-09-03,92,9.1,SquareSoft,"Role-Playing,Console-style RPG",1 Player,20,2118
1250,Total Annihilation,PC,1997-09-27,86,8.8,CavedogEntertainment,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General,Command",Up to 10 ,10,205
15768,Postal,PC,1997-09-30,56,6.5,RunningWithScissors,"Action,Shooter,General,Shooter,Third-Person,Shoot-'Em-Up,Modern,Top-Down",Up to 16 ,7,109
199,Sid Meier's Gettysburg!,PC,1997-09-30,92,7.4,FiraxisGames,"Strategy,Real-Time,Wargame,Real-Time,General",1-8 ,7,40
2950,Extreme-G,Nintendo64,1997-09-30,82,8.5,ProbeEntertainmentLimited,"Driving,Racing,Futuristic",1-4 ,11,24
2365,Bushido Blade,PlayStation,1997-09-30,83,8.6,LightWeight,"Action,Fighting,3D",1-2 ,13,29
2418,Age of Empires,PC,1997-09-30,83,8.7,EnsembleStudios,"Strategy,Real-Time,Historic,Historic,Command",1-8 ,9,361
160,Castlevania: Symphony of the Night,PlayStation,1997-10-02,93,9.2,Konami,"Action,Platformer,2D",1 Player,12,664
330,Star Wars Jedi Knight: Dark Forces II,PC,1997-10-09,91,8.6,LucasArts,"Action,Shooter,Shooter,First-Person,Sci-Fi,Arcade",Up to 32 ,10,199
563,Fallout,PC,1997-10-09,89,8.8,BlackIsleStudios,"Role-Playing,First-Person,First-Person,PC-style RPG,PC-style RPG,Western-Style",No Online Multiplayer,12,1254
8444,Duke Nukem 64,Nintendo64,1997-10-31,73,7.4,EurocomEntertainmentSoftware,"Action,Shooter,First-Person,Sci-Fi",1-4 ,11,28
651,The Curse of Monkey Island,PC,1997-10-31,89,9.0,LucasArts,"Adventure,General,General,Point-and-Click",No Online Multiplayer,9,323
251,PaRappa the Rapper,PlayStation,1997-10-31,92,7.6,NanaOn-Sha,"Miscellaneous,Rhythm,Music",1 Player,15,79
291,Colony Wars,PlayStation,1997-10-31,91,8.2,Psygnosis,"Simulation,Sci-Fi,Small Spaceship",1 Player,12,21
272,Myth: The Fallen Lords,PC,1997-10-31,91,8.5,"BungieSoftware,Bungie","Strategy,Real-Time,Fantasy,General,Fantasy",1-16 ,9,93
10909,Broken Sword: The Smoking Mirror,PC,1997-10-31,69,7.9,RevolutionSoftware,"Adventure,Third-Person,Point-and-Click,Modern,Modern",1 Player,11,116
757,Diddy Kong Racing,Nintendo64,1997-11-24,88,8.5,RareLtd.,"Driving,Racing,Kart",1-4 ,15,176
1279,Alundra,PlayStation,1997-12-31,86,8.8,MatrixSoftware,"Role-Playing,Action RPG",1 Player,9,80
650,Resident Evil 2,PlayStation,1998-01-21,89,9.2,Capcom,"Action Adventure,Horror",1 Player,13,822
2644,Final Fantasy Tactics,PlayStation,1998-01-28,83,9.1,SquareSoft,"Strategy,Turn-Based,Fantasy",1 Player,12,355
12769,Yoshi's Story,Nintendo64,1998-03-01,65,7.5,Nintendo,"Action,Platformer,2D",1 Player,8,106
8104,Quake,Nintendo64,1998-03-24,74,7.0,MidwayStudios-SanDiego,"Action,Shooter,First-Person,Sci-Fi",1-2 ,8,23
2069,Dead or Alive,PlayStation,1998-03-31,84,8.5,TeamNinja,"Action,Fighting,3D",1-2 ,10,30
780,Starcraft,PC,1998-03-31,88,9.1,BlizzardEntertainment,"Strategy,Real-Time,Sci-Fi,Sci-Fi,Command",1-8 ,15,1105
15256,Of Light and Darkness: The Prophecy,PC,1998-03-31,58,0.0,TribalDreams,"Adventure,General,General",No Online Multiplayer,8,0
11857,Mystical Ninja starring Goemon,Nintendo64,1998-03-31,67,8.5,KonamiComputerEntertainmentOsaka,"Action,General",1 Player,10,44
32,Tekken 3,PlayStation,1998-04-29,96,9.1,Namco,"Action,Fighting,3D",1-2 ,15,660
39,Gran Turismo,PlayStation,1998-04-30,96,8.7,PolyphonyDigital,"Driving,Racing,GT / Street",1-2 ,16,269
7004,Forsaken 64,Nintendo64,1998-04-30,75,7.4,IguanaEntertainment,"Action,Shooter,First-Person,Sci-Fi",1-4 ,12,13
660,Einhander,PlayStation,1998-05-05,89,8.8,SquareSoft,"Action,Shooter,Scrolling",1 Player,14,41
198,Banjo-Kazooie,Nintendo64,1998-05-31,92,9.1,RareLtd.,"Action,Platformer,3D",1 Player,19,472
15687,The X-Files Game,PC,1998-06-22,56,7.8,HyperBoleStudios,"Adventure,3D,Point-and-Click,First-Person,Modern",No Online Multiplayer,11,18
6484,Elemental Gearbolt,PlayStation,1998-06-30,76,0.0,AlfaSystem,"Action,Shooter,Light Gun",1-2 ,11,0
14121,Mission: Impossible,Nintendo64,1998-07-18,61,6.6,Infogrames,"Action Adventure,Modern",1 Player,11,44
9693,Emergency: Fighters for Life,PC,1998-07-31,71,7.9,TopWareInteractive,"Strategy,General,General",1 Player,9,10
1502,Tom Clancy's Rainbow Six,PC,1998-08-21,85,8.1,RedStormEntertainment,"Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern",1-8 ,13,73
10072,Thunder Force V,PlayStation,1998-08-31,70,7.2,TechnoSoft,"Action,General",1 Player,9,10
1174,Tenchu: Stealth Assassins,PlayStation,1998-08-31,87,8.8,Acquire,"Action Adventure,Fantasy",1 Player,14,84
3644,Parasite Eve,PlayStation,1998-09-09,81,8.9,SquareSoft,"Role-Playing,General",1 Player,17,153
834,Shogo: Mobile Armor Division,PC,1998-09-30,88,8.4,MonolithProductions,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",Online Multiplayer,13,79
8304,Body Harvest,Nintendo64,1998-09-30,73,7.9,DMADesign,"Action,General",1 Player,12,27
1200,Fallout 2,PC,1998-09-30,86,9.1,BlackIsleStudios,"Role-Playing,First-Person,First-Person,PC-style RPG,Western-Style",No Online Multiplayer,15,1437
1538,F-Zero X,Nintendo64,1998-09-30,85,8.7,Nintendo,"Driving,Racing,Futuristic",1-4 ,13,111
96,Grim Fandango,PC,1998-10-14,94,9.1,LucasArts,"Adventure,General,General,3D,Third-Person,Fantasy",No Online Multiplayer,15,685
1921,Xenogears,PlayStation,1998-10-20,84,9.2,SquareSoft,"Role-Playing,Console-style RPG",1 Player,15,315
95,Metal Gear Solid,PlayStation,1998-10-21,94,9.2,KCEJ,"Action Adventure,Modern",1 Player,20,1584
1438,Turok 2: Seeds of Evil,Nintendo64,1998-10-21,86,8.2,IguanaEntertainment,"Action,Shooter,First-Person,Sci-Fi",1-4 ,14,89
2376,Space Station Silicon Valley,Nintendo64,1998-10-21,83,8.3,DMADesign,"Action,Platformer,3D",1 Player,10,20
379,Crash Bandicoot 3: Warped,PlayStation,1998-10-31,91,9.0,NaughtyDog,"Action,Platformer,3D",1 Player,12,705
3389,Brave Fencer Musashi,PlayStation,1998-10-31,81,8.5,SquareSoft,"Role-Playing,Action RPG",1 Player,12,35
